dataset,method,pair,kendall_tau,spearman,iou_topk
analcatdata_authorship,C5.0,FEAT_IMP vs LIME,0.1494824,0.2218704,1.0
analcatdata_authorship,C5.0,FEAT_IMP vs LOCAL,0.0456541,0.0726419,1.0
analcatdata_authorship,C5.0,FEAT_IMP vs SHAP,0.4931677,0.5462514,0.5
analcatdata_authorship,C5.0,LIME vs SHAP,0.5304348,0.6982941,0.5
analcatdata_authorship,C5.0,LOCAL vs LIME,0.3072871,0.4284078,1.0
analcatdata_authorship,C5.0,LOCAL vs SHAP,0.2949956,0.4376074,0.5
analcatdata_authorship,JRip,FEAT_IMP vs LIME,0.4053830,0.5559794,0.5
analcatdata_authorship,JRip,FEAT_IMP vs LOCAL,0.2267690,0.3274753,1.0
analcatdata_authorship,JRip,FEAT_IMP vs SHAP,0.9486542,0.9561193,1.0
analcatdata_authorship,JRip,LIME vs SHAP,0.4517598,0.6106727,0.5
analcatdata_authorship,JRip,LOCAL vs LIME,0.1670929,0.2491414,0.5
analcatdata_authorship,JRip,LOCAL vs SHAP,0.1832907,0.2739130,1.0
analcatdata_authorship,PART,FEAT_IMP vs LIME,0.2182195,0.3200945,0.5
analcatdata_authorship,PART,FEAT_IMP vs LOCAL,0.2071611,0.2907198,0.5
analcatdata_authorship,PART,FEAT_IMP vs SHAP,0.9511387,0.9565042,0.5
analcatdata_authorship,PART,LIME vs SHAP,0.2322981,0.3399353,0.5
analcatdata_authorship,PART,LOCAL vs LIME,0.1747656,0.2547315,0.2
analcatdata_authorship,PART,LOCAL vs SHAP,0.1662404,0.2419803,0.2
analcatdata_authorship,bayesglm,FEAT_IMP vs LIME,0.0898551,0.1389380,0.2
analcatdata_authorship,bayesglm,FEAT_IMP vs LOCAL,0.0989648,0.1438019,0.2
analcatdata_authorship,bayesglm,FEAT_IMP vs SHAP,0.0385093,0.0632491,0.5
analcatdata_authorship,bayesglm,LIME vs SHAP,0.6869565,0.8583501,0.5
analcatdata_authorship,bayesglm,LOCAL vs LIME,0.4310559,0.5859680,0.5
